model,bin_id,delta_sv,n_years,hos_year,fuel,component,dln,branch
IPSL-CM6A-LR,-3.5,-3.0615,1,27,Natural gas,hdd_octmar,0.047968189261821,energy Natural gas
IPSL-CM6A-LR,-2.5,-2.3161,1,28,Natural gas,hdd_octmar,0.0124142292890359,energy Natural gas
IPSL-CM6A-LR,-3.5,-3.3374,1,29,Natural gas,hdd_octmar,0.0286474326163353,energy Natural gas
IPSL-CM6A-LR,-4.5,-4.2179,1,30,Natural gas,hdd_octmar,0.017712962382295,energy Natural gas
IPSL-CM6A-LR,-5.5,-5.2566,1,31,Natural gas,hdd_octmar,0.0488186211150974,energy Natural gas
IPSL-CM6A-LR,-3.5,-3.6201,1,32,Natural gas,hdd_octmar,0.0359211961437385,energy Natural gas
IPSL-CM6A-LR,-4.5,-4.2133,1,33,Natural gas,hdd_octmar,0.0241086661855537,energy Natural gas
IPSL-CM6A-LR,-4.5,-4.3351,1,34,Natural gas,hdd_octmar,0.0237658891425393,energy Natural gas
IPSL-CM6A-LR,-4.5,-4.2314,1,35,Natural gas,hdd_octmar,0.0395892081811661,energy Natural gas
IPSL-CM6A-LR,-4.5,-4.229,1,36,Natural gas,hdd_octmar,0.0263484111378569,energy Natural gas
IPSL-CM6A-LR,-3.5,-3.7165,1,37,Natural gas,hdd_octmar,0.0166854937513326,energy Natural gas
IPSL-CM6A-LR,-5.5,-5.1443,1,38,Natural gas,hdd_octmar,0.074831566769048,energy Natural gas
IPSL-CM6A-LR,-4.5,-4.9696,1,39,Natural gas,hdd_octmar,0.0246012050466215,energy Natural gas
IPSL-CM6A-LR,-3.5,-3.7356,1,40,Natural gas,hdd_octmar,0.000637347666481196,energy Natural gas
IPSL-CM6A-LR,-4.5,-4.1062,1,41,Natural gas,hdd_octmar,0.0213372029563214,energy Natural gas
IPSL-CM6A-LR,-4.5,-4.777,1,42,Natural gas,hdd_octmar,0.00733173034560682,energy Natural gas
IPSL-CM6A-LR,-5.5,-5.5255,1,43,Natural gas,hdd_octmar,0.035427552542556,energy Natural gas
IPSL-CM6A-LR,-5.5,-5.6091,1,44,Natural gas,hdd_octmar,0.0579885535621534,energy Natural gas
IPSL-CM6A-LR,-5.5,-5.0614,1,45,Natural gas,hdd_octmar,0.0621929731343003,energy Natural gas
