model,bin_id,delta_sv,n_years,cntr,country_id,component,dln,fuel
EC-Earth3,-2.5,-2.5562,17,EE,EST,cdd_jja,0.0057996416824491,Electricity
EC-Earth3,-1.5,-1.5166,7,EE,EST,cdd_jja,0.00507818666951844,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,EE,EST,cdd_jja,0.00613744889332801,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,EE,EST,cdd_jja,0.00543282972073295,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,EE,EST,cdd_jja,0.00398568892670438,Electricity
EC-Earth3,-3.5,-3.2771,5,EL,GRC,cdd_jja,0.0224597524825301,Electricity
EC-Earth3,-2.5,-2.5562,17,EL,GRC,cdd_jja,0.0267261986741057,Electricity
EC-Earth3,-1.5,-1.5166,7,EL,GRC,cdd_jja,0.0258856279099923,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,EL,GRC,cdd_jja,0.0242514173771051,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,EL,GRC,cdd_jja,0.0256802393811312,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,EL,GRC,cdd_jja,0.0277557582884112,Electricity
EC-Earth3,-3.5,-3.2771,5,ES,ESP,cdd_jja,0.0264365437112333,Electricity
EC-Earth3,-2.5,-2.5562,17,ES,ESP,cdd_jja,0.0284200761230009,Electricity
EC-Earth3,-1.5,-1.5166,7,ES,ESP,cdd_jja,0.0290355002347505,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,ES,ESP,cdd_jja,0.0220796375899788,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,ES,ESP,cdd_jja,0.0207079963804604,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,ES,ESP,cdd_jja,0.0261135223808563,Electricity
EC-Earth3,-3.5,-3.2771,5,FI,FIN,cdd_jja,0.00472751268947113,Electricity
EC-Earth3,-2.5,-2.5562,17,FI,FIN,cdd_jja,0.00448675144943865,Electricity
EC-Earth3,-1.5,-1.5166,7,FI,FIN,cdd_jja,0.00444871815210018,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,FI,FIN,cdd_jja,0.00468716773529902,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,FI,FIN,cdd_jja,0.00442861109926414,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,FI,FIN,cdd_jja,0.00306438463808009,Electricity
EC-Earth3,-3.5,-3.2771,5,FR,FRA,cdd_jja,0.0118590612535999,Electricity
EC-Earth3,-2.5,-2.5562,17,FR,FRA,cdd_jja,0.0171903525383192,Electricity
EC-Earth3,-1.5,-1.5166,7,FR,FRA,cdd_jja,0.0146377599999748,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,FR,FRA,cdd_jja,0.0151943459028832,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,FR,FRA,cdd_jja,0.011718922510081,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,FR,FRA,cdd_jja,0.0112169440478466,Electricity
EC-Earth3,-3.5,-3.2771,5,HR,HRV,cdd_jja,0.0132505042027876,Electricity
EC-Earth3,-2.5,-2.5562,17,HR,HRV,cdd_jja,0.0231317903786207,Electricity
EC-Earth3,-1.5,-1.5166,7,HR,HRV,cdd_jja,0.0247313696751699,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,HR,HRV,cdd_jja,0.0240777814175817,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,HR,HRV,cdd_jja,0.0231371115509548,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,HR,HRV,cdd_jja,0.0245781896978159,Electricity
EC-Earth3,-3.5,-3.2771,5,HU,HUN,cdd_jja,0.00959560028412789,Electricity
EC-Earth3,-2.5,-2.5562,17,HU,HUN,cdd_jja,0.0189549754095572,Electricity
EC-Earth3,-1.5,-1.5166,7,HU,HUN,cdd_jja,0.0226013305595492,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,HU,HUN,cdd_jja,0.0240746846697479,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,HU,HUN,cdd_jja,0.0216755774219243,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,HU,HUN,cdd_jja,0.022760791264904,Electricity
EC-Earth3,-3.5,-3.2771,5,IE,IRL,cdd_jja,0.00119277130999425,Electricity
EC-Earth3,-2.5,-2.5562,17,IE,IRL,cdd_jja,0.00143213683269321,Electricity
EC-Earth3,-1.5,-1.5166,7,IE,IRL,cdd_jja,0.0013010702518422,Electricity
